ts,jvm_cpus,virgl_cpus,client_tid,client_cpus,awt_tid,awt_cpus
1777219599,0-3,0-3,,no-tid,,no-tid
1777219600,0-3,0-3,,no-tid,20770,0-3
1777219602,0-3,0-3,,no-tid,20770,0-3
1777219604,0-3,0-3,21447,0-3,20770,0-3
1777219607,0-3,0-3,21447,0-3,20770,0-3
1777219610,0-3,0-3,21447,0-3,20770,0-3
1777219613,0-3,0-3,21447,0-3,20770,0-3
1777219615,0-3,0-3,21447,0-3,20770,0-3
1777219617,0-3,0-3,21447,0-3,20770,0-3
1777219619,0-3,0-3,21447,0-3,20770,0-3
1777219621,0-3,0-3,21447,0-3,20770,0-3
1777219623,0-3,0-3,21447,0-3,20770,0-3
1777219625,0-3,0-3,21447,0-3,20770,0-3
1777219627,0-3,0-3,21447,0-3,20770,0-3
1777219629,0-3,0-3,21447,0-3,20770,0-3
1777219632,0-3,0-3,21447,0-3,20770,0-3
1777219634,0-3,0-3,21447,0-3,20770,0-3
1777219636,0-3,0-3,21447,0-3,20770,0-3
1777219638,0-3,0-3,21447,0-3,20770,0-3
1777219640,0-3,0-3,21447,0-3,20770,0-3
1777219642,0-3,0-3,21447,0-3,20770,0-3
1777219644,0-3,0-3,21447,0-3,20770,0-3
1777219646,0-3,0-3,21447,0-3,20770,0-3
1777219648,0-3,0-3,21447,0-3,20770,0-3
1777219650,0-3,0-3,21447,0-3,20770,0-3
1777219652,0-3,0-3,21447,0-3,20770,0-3
1777219654,0-3,0-3,21447,0-3,20770,0-3
1777219656,0-3,0-3,21447,0-3,20770,0-3
1777219658,0-3,0-3,21447,0-3,20770,0-3
1777219660,0-3,0-3,21447,0-3,20770,0-3
