# rlawt per-frame CSV, CLOCK_MONOTONIC ns / microseconds
# mkcur_cumulative is the per-window makeCurrent counter — diff rows for per-frame
frame,t_post_swap_ns,swap_us,gap_us,finish_us,xsync_us,gpu_us,mkcur_cumulative
1,233462309638144,151804,0,0,0,0,0
2,233462833002144,67615,455748,0,0,0,0
3,233462980907451,48508,99396,0,0,0,0
4,233463043706451,24684,38115,0,0,0,0
5,233463090836913,26102,21027,0,0,0,0
6,233463259682452,21677,147168,0,0,0,0
7,233463309323144,27118,22521,0,0,0,0
8,233463355118452,18231,27564,0,0,0,0
9,233463394510144,19697,19693,0,0,0,0
10,233463430584605,19132,16941,0,0,0,0
11,233463475913528,22090,23238,0,0,0,0
12,233463523768298,21813,26041,0,0,0,0
13,233463564079759,21500,18811,0,0,0,0
14,233463603052067,18561,20410,0,0,0,0
15,233463639150452,21024,15074,0,0,0,0
16,233463664286452,18097,7038,0,0,0,0
17,233463692352375,18018,10047,0,0,0,0
18,233463720351375,22638,5360,0,0,0,0
19,233463746023375,19299,6373,0,0,0,0
20,233463768046759,16765,5257,0,0,0,0
21,233463791664298,18208,5408,0,0,0,0
22,233463820725836,16779,12281,0,0,0,0
23,233463848546836,15077,12743,0,0,0,0
24,233463876088375,20183,7358,0,0,0,0
25,233463911303759,18504,16711,0,0,0,0
26,233463939834452,16588,11942,0,0,0,0
27,233463965453298,18401,7217,0,0,0,0
28,233463989931990,19447,5031,0,0,0,0
29,233464011932375,17296,4704,0,0,0,0
30,233464033944682,17469,4543,0,0,0,0
31,233464057540682,18530,5065,0,0,0,0
32,233464080217605,16701,5975,0,0,0,0
33,233464101415759,16832,4365,0,0,0,0
34,233464122937913,16756,4765,0,0,0,0
35,233464146188913,18472,4778,0,0,0,0
36,233464169100990,16959,5952,0,0,0,0
37,233464188702144,15337,4263,0,0,0,0
38,233464214126221,20421,5002,0,0,0,0
39,233464238279067,18892,5260,0,0,0,0
40,233464261209528,18721,4208,0,0,0,0
41,233464283209528,15923,6076,0,0,0,0
42,233464306083759,17293,5581,0,0,0,0
43,233464331932298,18824,7024,0,0,0,0
44,233464358607682,19463,7212,0,0,0,0
45,233464379516682,15055,5853,0,0,0,0
46,233464404664067,20005,5141,0,0,0,0
47,233464428475375,18220,5591,0,0,0,0
48,233464450708605,16486,5747,0,0,0,0
49,233464472948990,17428,4811,0,0,0,0
50,233464497007990,18769,5289,0,0,0,0
51,233464522180990,16183,8989,0,0,0,0
52,233464543128913,16535,4412,0,0,0,0
53,233464564358836,14613,6616,0,0,0,0
54,233464584793529,15630,4804,0,0,0,0
55,233464605780913,16035,4951,0,0,0,0
56,233464630108990,19817,4511,0,0,0,0
57,233464653703990,18169,5425,0,0,0,0
58,233464677530529,17689,6136,0,0,0,0
59,233464700520375,17332,5657,0,0,0,0
60,233464721412605,15615,5276,0,0,0,0
61,233464741847375,15741,4692,0,0,0,0
62,233464762975144,16164,4963,0,0,0,0
63,233464784491375,16175,5341,0,0,0,0
64,233464809580298,18134,6954,0,0,0,0
65,233464833298836,16600,7117,0,0,0,0
66,233464855842452,17196,5347,0,0,0,0
67,233464882052375,19653,6556,0,0,0,0
68,233464907175682,19292,5830,0,0,0,0
69,233464933196067,18712,7308,0,0,0,0
70,233464955997913,17309,5492,0,0,0,0
71,233464981002759,19468,5536,0,0,0,0
72,233465002950759,17303,4645,0,0,0,0
73,233465025229529,17267,5011,0,0,0,0
74,233465065647990,18566,21852,0,0,0,0
75,233465138599759,18939,54012,0,0,0,0
76,233465176468990,22321,15547,0,0,0,0
77,233465207944605,23814,7661,0,0,0,0
78,233465251207682,34744,8518,0,0,0,0
79,233465297028375,33981,11838,0,0,0,0
80,233465318996913,16700,5267,0,0,0,0
81,233465346218529,20543,6678,0,0,0,0
82,233465370785836,18365,6202,0,0,0,0
83,233465394052298,16977,6289,0,0,0,0
84,233465416198221,16468,5677,0,0,0,0
85,233465441124913,18268,6658,0,0,0,0
86,233465468456913,20232,7099,0,0,0,0
87,233465493623067,18512,6653,0,0,0,0
88,233465516899759,16654,6621,0,0,0,0
89,233465540857836,18665,5292,0,0,0,0
90,233465569520913,16839,11824,0,0,0,0
91,233465588919759,14788,4610,0,0,0,0
92,233465619933836,24880,6133,0,0,0,0
93,233465644296067,17967,6394,0,0,0,0
94,233465674839990,17803,12740,0,0,0,0
95,233465699774759,18988,5946,0,0,0,0
96,233465726304298,17921,8608,0,0,0,0
97,233465751188913,18575,6308,0,0,0,0
98,233465774855375,17216,6450,0,0,0,0
99,233465800102836,18841,6405,0,0,0,0
100,233465823992375,18456,5433,0,0,0,0
101,233465850592375,22164,4435,0,0,0,0
102,233465874572375,17843,6136,0,0,0,0
103,233465901243144,20406,6264,0,0,0,0
104,233465925779452,16806,7729,0,0,0,0
105,233465950169298,19505,4884,0,0,0,0
106,233465977085836,20964,5951,0,0,0,0
107,233465998918759,16714,5118,0,0,0,0
108,233466025804298,22706,4180,0,0,0,0
109,233466048795144,18341,4648,0,0,0,0
110,233466073336067,20196,4344,0,0,0,0
111,233466099501913,21209,4955,0,0,0,0
112,233466123529913,18404,5623,0,0,0,0
113,233466148079144,20490,4058,0,0,0,0
114,233466174251375,18823,7348,0,0,0,0
115,233466198959682,18348,6359,0,0,0,0
116,233466228302529,22186,7156,0,0,0,0
117,233466252978221,17061,7614,0,0,0,0
118,233466275019682,16452,5588,0,0,0,0
119,233466297605913,17063,5522,0,0,0,0
120,233466319534836,17012,4916,0,0,0,0
121,233466347698221,24120,4042,0,0,0,0
122,233466371023067,17732,5592,0,0,0,0
123,233466394156606,17704,5429,0,0,0,0
124,233466415195990,16579,4459,0,0,0,0
125,233466439346221,19189,4960,0,0,0,0
126,233466466382144,22781,4254,0,0,0,0
127,233466488221836,16612,5227,0,0,0,0
128,233466515248298,22084,4941,0,0,0,0
129,233466536463682,16630,4585,0,0,0,0
130,233466556245221,14732,5048,0,0,0,0
131,233466580812298,20875,3691,0,0,0,0
132,233466603347682,18101,4433,0,0,0,0
133,233466625269836,17481,4440,0,0,0,0
134,233466649537836,18904,5363,0,0,0,0
135,233466673029529,17952,5539,0,0,0,0
136,233466698410529,20362,5018,0,0,0,0
137,233466723076067,19529,5136,0,0,0,0
138,233466752322452,25001,4244,0,0,0,0
139,233466774949913,16084,6543,0,0,0,0
140,233466802610221,20889,6771,0,0,0,0
141,233466826133221,18330,5192,0,0,0,0
142,233466849762144,18961,4667,0,0,0,0
143,233466873169606,18140,5266,0,0,0,0
144,233466899525221,21689,4666,0,0,0,0
145,233466926900913,18968,8407,0,0,0,0
146,233466948657913,17773,3983,0,0,0,0
147,233466976046759,20701,6687,0,0,0,0
148,233467000272606,18005,6221,0,0,0,0
149,233467028428298,22704,5451,0,0,0,0
150,233467049262836,16026,4807,0,0,0,0
151,233467075479759,20951,5265,0,0,0,0
152,233467097785913,17237,5068,0,0,0,0
153,233467123612606,21383,4443,0,0,0,0
154,233467147951759,19756,4582,0,0,0,0
155,233467171915683,18767,5196,0,0,0,0
156,233467193080606,16915,4249,0,0,0,0
157,233467218174452,18663,6430,0,0,0,0
158,233467239055759,15596,5284,0,0,0,0
159,233467263694221,20460,4177,0,0,0,0
160,233467285200913,16710,4796,0,0,0,0
161,233467308459990,17215,6043,0,0,0,0
162,233467332879067,18673,5745,0,0,0,0
163,233467357823375,18466,6478,0,0,0,0
164,233467379997606,18046,4127,0,0,0,0
165,233467400829836,16054,4777,0,0,0,0
166,233467424892913,19578,4484,0,0,0,0
167,233467449964067,19114,5956,0,0,0,0
168,233467475055375,18514,6576,0,0,0,0
169,233467504115683,21611,7449,0,0,0,0
170,233467525735759,16871,4749,0,0,0,0
171,233467550796990,19119,5942,0,0,0,0
172,233467585807144,28681,6328,0,0,0,0
173,233467627593221,22094,19691,0,0,0,0
174,233467649294221,16866,4834,0,0,0,0
175,233467672928375,19624,4010,0,0,0,0
176,233467697919683,20446,4544,0,0,0,0
177,233467719451990,16488,5044,0,0,0,0
178,233467742098221,16725,5920,0,0,0,0
179,233467765477606,17752,5627,0,0,0,0
180,233467789884990,19402,5004,0,0,0,0
181,233467813155990,17516,5754,0,0,0,0
182,233467833105529,15354,4595,0,0,0,0
183,233467857314221,17843,6365,0,0,0,0
184,233467885509836,21259,6936,0,0,0,0
185,233467915901529,22966,7425,0,0,0,0
186,233467940458529,17645,6911,0,0,0,0
187,233467965579683,20355,4765,0,0,0,0
188,233467988663375,19106,3977,0,0,0,0
189,233468013966759,20634,4670,0,0,0,0
190,233468037280990,18343,4971,0,0,0,0
191,233468059464913,16086,6097,0,0,0,0
192,233468082977606,17103,6409,0,0,0,0
193,233468107969298,18596,6395,0,0,0,0
194,233468132504067,19869,4665,0,0,0,0
195,233468156449529,19818,4126,0,0,0,0
196,233468182566144,21281,4835,0,0,0,0
197,233468206949913,20327,4056,0,0,0,0
198,233468233278221,21424,4903,0,0,0,0
199,233468261507375,16187,12041,0,0,0,0
200,233468281441529,14881,5053,0,0,0,0
201,233468307274144,20587,5244,0,0,0,0
202,233468332654221,20959,4421,0,0,0,0
203,233468358432067,21167,4610,0,0,0,0
204,233468382849913,19007,5410,0,0,0,0
205,233468413653913,26619,4184,0,0,0,0
206,233468436270760,17736,4880,0,0,0,0
207,233468456391067,15213,4907,0,0,0,0
208,233468481502760,20395,4716,0,0,0,0
209,233468508101836,22350,4248,0,0,0,0
210,233468534596683,19900,6594,0,0,0,0
211,233468556714836,17384,4734,0,0,0,0
212,233468580919375,20294,3910,0,0,0,0
213,233468609510221,19768,8822,0,0,0,0
214,233468638238452,22245,6482,0,0,0,0
215,233468663951452,19787,5925,0,0,0,0
216,233468691133529,23008,4173,0,0,0,0
217,233468720079760,19648,9297,0,0,0,0
218,233468743656990,18984,4593,0,0,0,0
219,233468764751990,16923,4171,0,0,0,0
220,233468791446452,22463,4230,0,0,0,0
221,233468815355144,18176,5732,0,0,0,0
222,233468841174529,18918,6901,0,0,0,0
223,233468865416067,18059,6181,0,0,0,0
224,233468892870221,20452,7002,0,0,0,0
225,233468918169606,20136,5163,0,0,0,0
226,233468943741298,18489,7082,0,0,0,0
227,233468974959067,23587,7630,0,0,0,0
228,233468999362452,18358,6045,0,0,0,0
229,233469029484683,26122,4001,0,0,0,0
230,233469052832375,17730,5617,0,0,0,0
231,233469077282760,20648,3801,0,0,0,0
232,233469101541298,18518,5740,0,0,0,0
233,233469126999760,18059,7398,0,0,0,0
234,233469146738529,16147,3591,0,0,0,0
235,233469168671452,17670,4262,0,0,0,0
236,233469192607683,18393,5542,0,0,0,0
237,233469219583452,21158,5816,0,0,0,0
238,233469244697298,19361,5752,0,0,0,0
239,233469265136375,16490,3948,0,0,0,0
240,233469289948683,20310,4501,0,0,0,0
241,233469316777298,22106,4721,0,0,0,0
242,233469343738221,19864,7096,0,0,0,0
243,233469365125529,16572,4815,0,0,0,0
244,233469392830452,23223,4481,0,0,0,0
245,233469418607990,19795,5982,0,0,0,0
246,233469442587067,18360,5618,0,0,0,0
247,233469468741221,19374,6780,0,0,0,0
248,233469493678221,19522,5414,0,0,0,0
249,233469516087067,17752,4656,0,0,0,0
250,233469539672298,16344,7240,0,0,0,0
251,233469564193606,19649,4871,0,0,0,0
252,233469590433913,22125,4115,0,0,0,0
253,233469615974221,18987,6552,0,0,0,0
254,233469639967452,17574,6418,0,0,0,0
255,233469664623683,20216,4439,0,0,0,0
256,233469686332990,15837,5872,0,0,0,0
257,233469708855452,17474,5048,0,0,0,0
258,233469734648683,16601,9191,0,0,0,0
259,233469755421606,16355,4417,0,0,0,0
260,233469778243144,19076,3745,0,0,0,0
261,233469798328298,14594,5491,0,0,0,0
262,233469823522837,21147,4047,0,0,0,0
263,233469901117913,19273,58321,0,0,0,0
264,233470010479990,20619,88743,0,0,0,0
265,233470039642760,25164,3998,0,0,0,0
266,233470061632990,20012,1977,0,0,0,0
267,233470086513221,21016,3863,0,0,0,0
268,233470112442221,23676,2252,0,0,0,0
269,233470144254144,28143,3668,0,0,0,0
270,233470183321837,28221,10846,0,0,0,0
271,233470225621298,32873,9425,0,0,0,0
272,233470301487760,18205,57661,0,0,0,0
273,233470333172606,30017,1667,0,0,0,0
274,233470364282760,29346,1763,0,0,0,0
275,233470414381529,36427,13671,0,0,0,0
276,233470433832683,17223,2228,0,0,0,0
277,233470458167375,22365,1968,0,0,0,0
278,233470481345913,21054,2124,0,0,0,0
279,233470535473837,26717,27410,0,0,0,0
280,233470577807452,40499,1833,0,0,0,0
281,233470606407990,24241,4359,0,0,0,0
282,233470657295375,34504,16383,0,0,0,0
283,233470678580990,19343,1942,0,0,0,0
284,233470704233298,17966,7685,0,0,0,0
285,233470726195452,18001,3960,0,0,0,0
286,233470764301913,34106,3999,0,0,0,0
287,233470798635067,20580,13753,0,0,0,0
288,233470843242452,19616,24991,0,0,0,0
289,233470869070144,20499,5328,0,0,0,0
290,233470906021529,24867,12084,0,0,0,0
291,233470940658529,32579,2057,0,0,0,0
292,233470965019067,16495,7865,0,0,0,0
293,233470991992375,18358,8615,0,0,0,0
294,233471033190221,17385,23813,0,0,0,0
295,233471064816067,24290,7335,0,0,0,0
296,233471095309298,16855,13637,0,0,0,0
297,233471133089837,32418,5362,0,0,0,0
298,233471181201221,46260,1850,0,0,0,0
299,233471201029298,17329,2498,0,0,0,0
300,233471233997529,30347,2621,0,0,0,0
301,233471271558760,35184,2376,0,0,0,0
302,233471314563760,37884,5120,0,0,0,0
303,233471346794144,29875,2355,0,0,0,0
304,233471374548067,23696,4057,0,0,0,0
305,233471419369837,35236,9584,0,0,0,0
306,233471447605298,24593,3642,0,0,0,0
307,233471501173606,27726,25842,0,0,0,0
308,233471526350452,22600,2576,0,0,0,0
309,233471550329221,21875,2103,0,0,0,0
310,233471571184375,19075,1779,0,0,0,0
311,233471593168375,18223,3760,0,0,0,0
312,233471626405837,31404,1832,0,0,0,0
313,233471653093529,24193,2494,0,0,0,0
314,233471673394529,16778,3522,0,0,0,0
315,233471700394452,24751,2248,0,0,0,0
316,233471733958221,30999,2564,0,0,0,0
317,233471756985606,20851,2175,0,0,0,0
318,233471784112990,20535,6591,0,0,0,0
319,233471815763144,29079,2571,0,0,0,0
320,233471839135144,21451,1920,0,0,0,0
321,233471862621298,21551,1934,0,0,0,0
322,233471892611760,26637,3352,0,0,0,0
323,233471915551760,19949,2990,0,0,0,0
324,233472175749914,20896,239303,0,0,0,0
325,233472197913914,18876,3287,0,0,0,0
326,233472220408990,19962,2532,0,0,0,0
327,233472240651760,18453,1788,0,0,0,0
328,233472264129914,21178,2300,0,0,0,0
329,233472285423375,19421,1871,0,0,0,0
330,233472310627991,23126,2078,0,0,0,0
331,233472330043067,16291,3124,0,0,0,0
332,233472351697606,19982,1672,0,0,0,0
333,233472372715067,17449,3568,0,0,0,0
334,233472393048606,18631,1701,0,0,0,0
335,233472415568914,20755,1764,0,0,0,0
336,233472444871375,27294,2008,0,0,0,0
337,233472467986452,18335,4779,0,0,0,0
338,233472490709914,20891,1832,0,0,0,0
339,233472514986760,21900,2376,0,0,0,0
340,233472548320683,24659,8674,0,0,0,0
341,233472569097298,18501,2274,0,0,0,0
342,233472601784375,28536,4151,0,0,0,0
343,233472623224375,19557,1882,0,0,0,0
344,233472650941606,25711,2005,0,0,0,0
345,233472674914837,22038,1934,0,0,0,0
346,233472699375067,22668,1791,0,0,0,0
347,233472729426221,28134,1917,0,0,0,0
348,233472751781529,18285,4070,0,0,0,0
349,233472772664914,17258,3624,0,0,0,0
350,233472795309606,20681,1963,0,0,0,0
351,233472814675144,15775,3590,0,0,0,0
352,233473042924991,22181,206069,0,0,0,0
353,233474581496606,27313,1511258,0,0,0,0
354,233474949894145,20286,348111,0,0,0,0
355,233475007550837,17686,39971,0,0,0,0
356,233475063147375,18346,37250,0,0,0,0
357,233475106001529,20172,22681,0,0,0,0
358,233475142944683,19728,17214,0,0,0,0
359,233475180945914,15670,22330,0,0,0,0
360,233475225450145,17501,27002,0,0,0,0
361,233475274918837,19344,30124,0,0,0,0
362,233475331527068,23774,32834,0,0,0,0
363,233475390276298,22308,36440,0,0,0,0
364,233475438886221,19679,28930,0,0,0,0
365,233475482691452,18400,25404,0,0,0,0
366,233475530765298,20173,27900,0,0,0,0
367,233475643998529,18908,94324,0,0,0,0
368,233475689222760,21176,24047,0,0,0,0
369,233475727282837,17459,20600,0,0,0,0
370,233475763547452,18893,17371,0,0,0,0
