04-26 13:04:40.083  9186  9186 I RLT     : +41ms [STATE] S26 onCreate: pid=9186 resize_cycles=100 fd_count=127 | thread=main
04-26 13:04:40.085  9186  9186 I RLT     : +43ms [STATE] S26 onCreate: bindService=true | thread=main
04-26 13:04:40.120  9186  9186 I RLT     : +78ms [LIFECYCLE] S26 surfaceCreated: holder=android.view.SurfaceView$1@40923fb | thread=main
04-26 13:04:40.120  9186  9186 I RLT     : +78ms [LIFECYCLE] S26 surfaceChanged: 800x600 format=1 | thread=main
04-26 13:04:40.415  9219  9219 I RLT     : +30ms [LIFECYCLE] S26 SurfaceRendererService.onCreate: pid=9219 fd_count=108 | thread=main
04-26 13:04:40.417  9186  9186 I RLT     : +375ms [STATE] S26 onServiceConnected: name=ComponentInfo{com.runelitetablet/com.runelitetablet.probe.surfaceaidl.SurfaceRendererService} remote_pid=-1 fd_at_start=108 | thread=main
04-26 13:04:40.618  9186  9186 I RLT     : +575ms [STATE] S26 startResizeLoop: cycles=100 fd_at_start=108 | thread=main
04-26 13:04:40.621  9186  9186 I RLT     : +579ms [LIFECYCLE] S26 surfaceChanged: 640x480 format=1 | thread=main
04-26 13:04:40.624  9219  9241 I RLT     : +239ms [STATE] S26 attachSurface: 640x480 attach=1 fd_count=110 remote_pid=9186 | thread=binder:9219_3
04-26 13:04:40.654  9186  9186 I RLT     : +612ms [LIFECYCLE] S26 surfaceChanged: 800x600 format=1 | thread=main
04-26 13:04:40.656  9219  9241 I RLT     : +271ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=1 fd_count=116 | thread=binder:9219_3
04-26 13:04:40.656  9219  9241 I RLT     : +271ms [STATE] S26 attachSurface: 800x600 attach=2 fd_count=116 remote_pid=9186 | thread=binder:9219_3
04-26 13:04:40.687  9186  9186 I RLT     : +645ms [LIFECYCLE] S26 surfaceChanged: 960x540 format=1 | thread=main
04-26 13:04:40.689  9219  9236 I RLT     : +304ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=2 fd_count=116 | thread=binder:9219_1
04-26 13:04:40.690  9219  9236 I RLT     : +305ms [STATE] S26 attachSurface: 960x540 attach=3 fd_count=116 remote_pid=9186 | thread=binder:9219_1
04-26 13:04:40.712  9186  9186 I RLT     : +670ms [LIFECYCLE] S26 surfaceChanged: 1024x768 format=1 | thread=main
04-26 13:04:40.714  9219  9241 I RLT     : +329ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=3 fd_count=116 | thread=binder:9219_3
04-26 13:04:40.715  9219  9241 I RLT     : +330ms [STATE] S26 attachSurface: 1024x768 attach=4 fd_count=116 remote_pid=9186 | thread=binder:9219_3
04-26 13:04:40.746  9186  9186 I RLT     : +704ms [LIFECYCLE] S26 surfaceChanged: 1280x720 format=1 | thread=main
04-26 13:04:40.748  9219  9267 I RLT     : +362ms [STATE] S26 releaseSurfaceLocked[attachSurface(reattach)]: detach=4 fd_count=116 | thread=binder:9219_4
04-26 13:04:40.748  9219  9267 I RLT     : +363ms [STATE] S26 attachSurface: 1280x720 attach=5 fd_count=116 remote_pid=9186 | thread=binder:9219_4
04-26 13:04:40.780  9186  9186 I RLT     : +738ms [LIFECYCLE] S26 surfaceChanged: 720x1280 format=1 | thread=main
