ts,tid,comm,cpu_pct
1777220228,15604,java,106
1777220228,15629,C2 CompilerThre,53
1777220228,15630,C1 CompilerThre,44
1777220228,15687,GC Thread#2,2
1777220228,15688,GC Thread#3,1
1777220228,15686,GC Thread#1,1
1777220228,15609,G1 Refine#0,1
1777220228,15608,G1 Conc#0,1
1777220236,15629,C2 CompilerThre,296
1777220236,16200,AWT-EventQueue-,208
1777220236,17923,Client,137
1777220236,15630,C1 CompilerThre,125
1777220236,15604,java,22
1777220236,15608,G1 Conc#0,14
1777220236,18259,Sound Engine,12
1777220236,16195,AWT-XAWT,2
1777220236,15688,GC Thread#3,2
1777220236,15687,GC Thread#2,2
1777220236,15686,GC Thread#1,2
1777220236,15605,GC Thread#0,2
1777220249,17923,Client,85
1777220249,15629,C2 CompilerThre,17
1777220249,18259,Sound Engine,11
1777220249,15630,C1 CompilerThre,8
1777220249,19323,threaded-ml,6
1777220249,16195,AWT-XAWT,2
1777220249,16200,AWT-EventQueue-,1
1777220260,15629,C2 CompilerThre,275
1777220260,17923,Client,221
1777220260,15630,C1 CompilerThre,100
1777220260,18259,Sound Engine,11
1777220260,19323,threaded-ml,8
1777220260,16200,AWT-EventQueue-,6
1777220260,16195,AWT-XAWT,3
1777220260,18590,Thread-7,1
1777220260,15609,G1 Refine#0,1
1777220275,15629,C2 CompilerThre,195
1777220275,17923,Client,129
1777220275,15630,C1 CompilerThre,11
1777220275,16200,AWT-EventQueue-,9
1777220275,19323,threaded-ml,5
1777220275,18259,Sound Engine,5
1777220275,16195,AWT-XAWT,3
1777220275,23450,Thread-9,1
1777220275,18590,Thread-7,1
1777220287,17923,Client,123
1777220287,15629,C2 CompilerThre,58
1777220287,19323,threaded-ml,6
1777220287,15630,C1 CompilerThre,3
1777220287,18590,Thread-7,1
1777220287,18259,Sound Engine,1
1777220287,17761,pool-2-thread-1,1
1777220287,16195,AWT-XAWT,1
1777220299,17923,Client,111
1777220299,15629,C2 CompilerThre,22
1777220299,15630,C1 CompilerThre,6
1777220299,19323,threaded-ml,5
1777220299,18259,Sound Engine,5
1777220299,16200,AWT-EventQueue-,1
1777220299,16195,AWT-XAWT,1
1777220310,17923,Client,116
1777220310,15629,C2 CompilerThre,45
1777220310,19323,threaded-ml,7
1777220310,18259,Sound Engine,5
1777220310,15630,C1 CompilerThre,3
1777220310,23450,Thread-9,1
1777220310,23449,Thread-8,1
1777220310,18590,Thread-7,1
1777220310,16195,AWT-XAWT,1
1777220320,17923,Client,120
1777220320,15629,C2 CompilerThre,105
1777220320,19323,threaded-ml,6
1777220320,15630,C1 CompilerThre,3
1777220320,16195,AWT-XAWT,2
1777220320,18590,Thread-7,1
1777220320,16200,AWT-EventQueue-,1
1777220332,15629,C2 CompilerThre,218
1777220332,17923,Client,127
1777220332,15630,C1 CompilerThre,7
1777220332,19323,threaded-ml,6
1777220332,18259,Sound Engine,5
1777220332,16195,AWT-XAWT,4
1777220332,16200,AWT-EventQueue-,2
1777220332,18590,Thread-7,1
1777220332,17761,pool-2-thread-1,1
1777220344,17923,Client,47
1777220344,15629,C2 CompilerThre,9
1777220344,19323,threaded-ml,5
1777220344,18259,Sound Engine,4
1777220344,18590,Thread-7,1
1777220344,17761,pool-2-thread-1,1
1777220344,16195,AWT-XAWT,1
