ts,jvm_cpus,virgl_cpus,client_tid,client_cpus,awt_tid,awt_cpus
1777220947,4-7,4-7,,no-tid,,no-tid
1777220948,4-7,4-7,,no-tid,25700,0-7
1777220950,4-7,4-7,,no-tid,25700,0-7
1777220952,4-7,4-7,27035,0-7,25700,0-7
1777220953,4-7,4-7,27035,0-7,25700,0-7
1777220956,4-7,4-7,27035,0-7,25700,0-7
1777220957,4-7,4-7,27035,0-7,25700,0-7
1777220959,4-7,4-7,27035,0-7,25700,0-7
1777220961,0-7,0-7,27035,0-7,25700,0-7
1777220963,0-7,0-7,27035,0-7,25700,0-7
1777220965,0-7,0-7,27035,0-7,25700,0-7
1777220967,0-7,0-7,27035,0-7,25700,0-7
1777220969,0-7,0-7,27035,0-7,25700,0-7
1777220971,0-7,0-7,27035,0-7,25700,0-7
1777220972,0-7,0-7,27035,0-7,25700,0-7
1777220974,0-7,0-7,27035,0-7,25700,0-7
1777220976,0-7,0-7,27035,0-7,25700,0-7
1777220978,0-7,0-7,27035,0-7,25700,0-7
1777220980,0-7,0-7,27035,0-7,25700,0-7
1777220982,0-7,0-7,27035,0-7,25700,0-7
1777220984,0-7,0-7,27035,0-7,25700,0-7
1777220986,0-7,0-7,27035,0-7,25700,0-7
1777220988,0-7,0-7,27035,0-7,25700,0-7
1777220990,0-7,0-7,27035,0-7,25700,0-7
1777220991,0-7,0-7,27035,0-7,25700,0-7
1777220993,0-7,0-7,27035,0-7,25700,0-7
1777220995,0-7,0-7,27035,0-7,25700,0-7
1777220997,0-7,0-7,27035,0-6,25700,0-6
1777220999,0-6,0-6,27035,0-6,25700,0-6
1777221001,0-6,0-6,27035,0-6,25700,0-6
1777221003,0-6,0-6,27035,0-6,25700,0-6
1777221005,0-6,0-6,27035,0-6,25700,0-6
