04-14 17:36:36.682 23282 23282 I RLT     : +281397ms [UI] SetupScreen: Launch RuneLite button clicked | thread=main
04-14 17:36:36.683 23282 23282 I RLT     : +281397ms [STATE] LaunchCoordinator.launchRuneLite: starting pre-launch sequence corr=launch-26d9 | thread=main
04-14 17:36:36.685 23282 23282 I RLT     : +281399ms [STATE] LaunchCoordinator: checking for updates corr=launch-26d9 | thread=main
04-14 17:36:36.685 23282 23282 I RLT     : +281400ms [SCRIPT] deployScripts: skipping — already deployed (cached) | thread=main
04-14 17:36:36.685 23282 23282 D RLT     : +281400ms [CMD] TermuxResultRegistry: created executionId=17 corr=17 | thread=main
04-14 17:36:36.685 23282 23282 I RLT     : +281400ms [CMD] [id=17] execute: commandPath=/data/data/com.termux/files/home/scripts/update-runelite.sh args=<none> workdir=<default> background=true stdinLen=0 timeoutMs=60000 | thread=main
04-14 17:36:36.685 23282 23282 I RLT     : +281400ms [CMD] [id=17] awaiting result: deferred created pendingResultsSize=1 timeoutMs=60000 | thread=main
04-14 17:36:36.686 23282 23282 I RLT     : +281401ms [CMD] [id=17] intent built: action=com.termux.RUN_COMMAND component=com.termux/com.termux.app.RunCommandService extras=[PATH=/data/data/com.termux/files/home/scripts/update-runelite.sh BACKGROUND=true STDIN=absent PENDING_INTENT=present] | thread=main
04-14 17:36:36.689 23282 23282 I RLT     : +281403ms [CMD] [id=17] startService: success | thread=main
04-14 17:36:39.075 23282 23282 I RLT     : +283790ms [LIFECYCLE] TermuxResultService.onCreate | thread=main
04-14 17:36:39.077 23282 23282 I RLT     : +283791ms [CMD] [id=17] onStartCommand: executionId=17 exitCode=0 errCode=-1 errmsg=null stdoutPreview='=== Checking for RuneLite updates ===
04-14 17:36:39.077 23282 23282 I RLT     : Stored version: 2.7.7
04-14 17:36:39.077 23282 23282 I RLT     : Latest version: 2.7.7
04-14 17:36:39.077 23282 23282 I RLT     : UPDATE_STATUS current 2.7.7
04-14 17:36:39.077 23282 23282 I RLT     : === update-runelite complete ===
04-14 17:36:39.077 23282 23282 I RLT     : ' stderrPreview='' resultBundle=true pendingResultsSize=1 | thread=main
04-14 17:36:39.077 23282 23282 I RLT     : +283792ms [CMD] [id=17] handleResult: executionId=17 exitCode=0 errCode=-1 errmsg=null stdoutLen=143 stdoutPreview='=== Checking for RuneLite updates ===
04-14 17:36:39.077 23282 23282 I RLT     : Stored version: 2.7.7
04-14 17:36:39.077 23282 23282 I RLT     : Latest version: 2.7.7
04-14 17:36:39.077 23282 23282 I RLT     : UPDATE_STATUS current 2.7.7
04-14 17:36:39.077 23282 23282 I RLT     : === update-runelite complete ===
04-14 17:36:39.077 23282 23282 I RLT     : ' stderrLen=0 stderrPreview='' | thread=main
