=== SAMPLER START ts_ns=1776430547655881569 pids="17652 17870 17239" duration=60s interval=0.1s ===
=== START SNAPSHOT ts_ns=1776430547665337877 ===
START|pid=17652|tid=17652|comm=java|state=S|cpus=0-7|vol=112|nonvol=0|sched=6213084 1384074 112
START|pid=17652|tid=17654|comm=java|state=S|cpus=0-7|vol=7629|nonvol=683|sched=2974975128 319960679 8290
START|pid=17652|tid=17655|comm=GC Thread#0|state=S|cpus=0-7|vol=3011|nonvol=285|sched=460153659 156905929 3289
START|pid=17652|tid=17656|comm=G1 Main Marker|state=S|cpus=0-7|vol=215|nonvol=2|sched=14361616 17552918 217
START|pid=17652|tid=17657|comm=G1 Conc#0|state=S|cpus=0-7|vol=141|nonvol=13|sched=119820315 3168695 154
START|pid=17652|tid=17658|comm=G1 Refine#0|state=S|cpus=0-7|vol=261|nonvol=5|sched=38728152 29331697 266
START|pid=17652|tid=17659|comm=G1 Young RemSet|state=S|cpus=0-7|vol=16689|nonvol=1135|sched=2450045138 1351723032 17744
START|pid=17652|tid=17660|comm=VM Thread|state=S|cpus=0-7|vol=22277|nonvol=3042|sched=2454727003 1600950652 25093
START|pid=17652|tid=17661|comm=Reference Handl|state=S|cpus=0-7|vol=185|nonvol=5|sched=18267070 10540155 190
START|pid=17652|tid=17662|comm=Finalizer|state=S|cpus=0-7|vol=62|nonvol=0|sched=5588535 3807234 62
START|pid=17652|tid=17663|comm=Signal Dispatch|state=S|cpus=0-7|vol=12|nonvol=0|sched=338770 49613 12
START|pid=17652|tid=17664|comm=Service Thread|state=S|cpus=0-7|vol=12|nonvol=0|sched=292307 239231 12
START|pid=17652|tid=17665|comm=C2 CompilerThre|state=S|cpus=0-7|vol=17692|nonvol=3012|sched=31278958289 1217528134 20665
START|pid=17652|tid=17666|comm=C1 CompilerThre|state=S|cpus=0-7|vol=20555|nonvol=2901|sched=11221752376 1543243627 23371
START|pid=17652|tid=17667|comm=Sweeper thread|state=S|cpus=0-7|vol=178|nonvol=37|sched=208836385 7570615 215
START|pid=17652|tid=17668|comm=VM Periodic Tas|state=S|cpus=0-7|vol=98782|nonvol=4080|sched=10252371628 7595012776 102422
START|pid=17652|tid=17669|comm=Common-Cleaner|state=S|cpus=0-7|vol=424|nonvol=15|sched=35451067 19839076 438
START|pid=17652|tid=17685|comm=GC Thread#1|state=S|cpus=0-7|vol=3190|nonvol=771|sched=452961268 236263228 3955
START|pid=17652|tid=17686|comm=GC Thread#2|state=S|cpus=0-7|vol=3218|nonvol=1058|sched=529181794 228054445 4271
START|pid=17652|tid=17687|comm=GC Thread#3|state=S|cpus=0-7|vol=3204|nonvol=1228|sched=592509682 247973172 4427
START|pid=17652|tid=17689|comm=GC Thread#4|state=S|cpus=0-7|vol=3226|nonvol=930|sched=605344110 254755467 4148
START|pid=17652|tid=17690|comm=GC Thread#5|state=S|cpus=0-7|vol=3261|nonvol=889|sched=531852066 240036144 4145
START|pid=17652|tid=17691|comm=GC Thread#6|state=S|cpus=0-7|vol=3222|nonvol=750|sched=654320645 236857467 3964
START|pid=17652|tid=17692|comm=GC Thread#7|state=S|cpus=0-7|vol=3253|nonvol=838|sched=722655856 237018844 4083
START|pid=17652|tid=17693|comm=G1 Refine#1|state=S|cpus=0-7|vol=44|nonvol=1|sched=7303539 2799079 45
START|pid=17652|tid=17698|comm=Java2D Disposer|state=S|cpus=0-7|vol=261|nonvol=7|sched=19564843 10161765 267
START|pid=17652|tid=17699|comm=AWT-XAWT|state=S|cpus=0-7|vol=56200|nonvol=4661|sched=7148749153 5260062527 60588
START|pid=17652|tid=17700|comm=AWT-Shutdown|state=S|cpus=0-7|vol=42|nonvol=0|sched=997463 1635616 42
START|pid=17652|tid=17701|comm=AWT-EventQueue-|state=S|cpus=0-7|vol=13331|nonvol=2394|sched=5384573737 1205108657 15680
START|pid=17652|tid=17702|comm=G1 Conc#1|state=S|cpus=0-7|vol=143|nonvol=27|sched=129246013 4192767 169
START|pid=17652|tid=17703|comm=TimerQueue|state=S|cpus=0-7|vol=786|nonvol=15|sched=92439927 41013307 800
START|pid=17652|tid=17766|comm=pool-2-thread-1|state=S|cpus=0-7|vol=26645|nonvol=1945|sched=4222985715 2102823674 28479
START|pid=17652|tid=17772|comm=Thread-1|state=S|cpus=0-7|vol=63|nonvol=1|sched=4397388 1954771 64
START|pid=17652|tid=17773|comm=Client|state=S|cpus=0-7|vol=4827051|nonvol=1509603|sched=507106677445 37266604174 6336500
START|pid=17652|tid=17774|comm=Thread-3|state=S|cpus=0-7|vol=195|nonvol=35|sched=32660314 13478314 230
START|pid=17652|tid=17819|comm=pool-4-thread-1|state=S|cpus=0-7|vol=20844|nonvol=3327|sched=4169854663 2714011735 24102
START|pid=17652|tid=17835|comm=Thread-7|state=S|cpus=0-7|vol=191951|nonvol=7562|sched=19177385047 14018195096 198727
START|pid=17652|tid=17876|comm=java:disk$0|state=S|cpus=0-7|vol=7|nonvol=0|sched=381998 0 7
START|pid=17652|tid=18016|comm=Map Loader|state=S|cpus=0-7|vol=461|nonvol=141|sched=1423024540 19642168 602
START|pid=17652|tid=18089|comm=G1 Refine#2|state=S|cpus=0-7|vol=17|nonvol=0|sched=266232 983769 17
START|pid=17652|tid=30191|comm=Thread-12|state=S|cpus=0-7|vol=343|nonvol=63|sched=56729774 89193694 405
START|pid=17652|tid=30192|comm=Thread-13|state=S|cpus=0-7|vol=676|nonvol=142|sched=126861076 79481750 818
START|pid=17870|tid=17870|comm=virgl_test_serv|state=R|cpus=4-7|vol=170758|nonvol=856525|sched=611055515108 84049822255 1027280
START|pid=17870|tid=17871|comm=mali-event-hand|state=S|cpus=4-7|vol=175942|nonvol=1811|sched=10075752368 3779130816 177710
START|pid=17870|tid=17872|comm=mali-mem-purge|state=S|cpus=4-7|vol=16520|nonvol=379|sched=2271297105 254476707 16895
START|pid=17870|tid=17873|comm=mali-cpu-comman|state=S|cpus=4-7|vol=261072|nonvol=1564|sched=9738897649 5521313195 262630
START|pid=17870|tid=17874|comm=ged-swd|state=S|cpus=4-7|vol=1|nonvol=0|sched=57461 0 1
START|pid=17870|tid=17875|comm=vrend-sync|state=S|cpus=4-7|vol=60316|nonvol=358|sched=3330852007 862711607 60672
START|pid=17870|tid=17883|comm=mali-compiler|state=S|cpus=4-7|vol=2|nonvol=5|sched=9972383 2296694 7
START|pid=17239|tid=17239|comm=proot|state=S|cpus=0-7|vol=412934|nonvol=105510|sched=88245499167 37735537362 511574
=== SAMPLES (ts_ns|pid|tid|state|wchan_addr) ===
1776430551142442185|17652|17652|S|1
1776430551142442185|17652|17654|S|1
1776430551142442185|17652|17655|S|1
1776430551142442185|17652|17656|S|1
1776430551142442185|17652|17657|S|1
1776430551142442185|17652|17658|S|1
1776430551142442185|17652|17659|S|1
1776430551142442185|17652|17660|S|1
1776430551142442185|17652|17661|S|1
1776430551142442185|17652|17662|S|1
1776430551142442185|17652|17663|S|1
1776430551142442185|17652|17664|S|1
1776430551142442185|17652|17665|S|1
1776430551142442185|17652|17666|S|1
1776430551142442185|17652|17667|S|1
1776430551142442185|17652|17668|S|1
1776430551142442185|17652|17669|S|1
1776430551142442185|17652|17685|S|1
1776430551142442185|17652|17686|S|1
1776430551142442185|17652|17687|S|1
1776430551142442185|17652|17689|S|1
1776430551142442185|17652|17690|S|1
1776430551142442185|17652|17691|S|1
1776430551142442185|17652|17692|S|1
1776430551142442185|17652|17693|S|1
1776430551142442185|17652|17698|S|1
1776430551142442185|17652|17699|S|1
1776430551142442185|17652|17700|S|1
1776430551142442185|17652|17701|S|1
1776430551142442185|17652|17702|S|1
1776430551142442185|17652|17703|S|1
1776430551142442185|17652|17766|S|1
1776430551142442185|17652|17772|S|1
1776430551142442185|17652|17773|S|1
1776430551142442185|17652|17774|S|1
1776430551142442185|17652|17819|S|1
1776430551142442185|17652|17835|S|1
1776430551142442185|17652|17876|S|1
1776430551142442185|17652|18016|S|1
1776430551142442185|17652|18089|S|1
1776430551142442185|17652|30191|S|1
1776430551142442185|17652|30192|S|1
1776430551142442185|17870|17870|S|1
1776430551142442185|17870|17871|S|1
1776430551142442185|17870|17872|S|1
1776430551142442185|17870|17873|S|1
1776430551142442185|17870|17874|S|1
1776430551142442185|17870|17875|S|1
1776430551142442185|17870|17883|S|1
1776430551142442185|17239|17239|S|1
1776430552577410492|17652|17652|S|1
1776430552577410492|17652|17654|S|1
1776430552577410492|17652|17655|S|1
1776430552577410492|17652|17656|S|1
1776430552577410492|17652|17657|S|1
1776430552577410492|17652|17658|S|1
1776430552577410492|17652|17659|S|1
1776430552577410492|17652|17660|S|1
1776430552577410492|17652|17661|S|1
1776430552577410492|17652|17662|S|1
1776430552577410492|17652|17663|S|1
1776430552577410492|17652|17664|S|1
1776430552577410492|17652|17665|S|1
1776430552577410492|17652|17666|S|1
1776430552577410492|17652|17667|S|1
1776430552577410492|17652|17668|S|1
1776430552577410492|17652|17669|S|1
1776430552577410492|17652|17685|S|1
1776430552577410492|17652|17686|S|1
1776430552577410492|17652|17687|S|1
1776430552577410492|17652|17689|S|1
1776430552577410492|17652|17690|S|1
1776430552577410492|17652|17691|S|1
1776430552577410492|17652|17692|S|1
1776430552577410492|17652|17693|S|1
1776430552577410492|17652|17698|S|1
1776430552577410492|17652|17699|S|1
1776430552577410492|17652|17700|S|1
1776430552577410492|17652|17701|S|1
1776430552577410492|17652|17702|S|1
1776430552577410492|17652|17703|S|1
1776430552577410492|17652|17766|S|1
1776430552577410492|17652|17772|S|1
1776430552577410492|17652|17773|S|1
1776430552577410492|17652|17774|S|1
1776430552577410492|17652|17819|S|1
1776430552577410492|17652|17835|S|1
1776430552577410492|17652|17876|S|1
1776430552577410492|17652|18016|S|1
1776430552577410492|17652|18089|S|1
1776430552577410492|17652|30191|S|1
1776430552577410492|17652|30192|S|1
1776430552577410492|17870|17870|S|1
1776430552577410492|17870|17871|S|1
1776430552577410492|17870|17872|S|1
1776430552577410492|17870|17873|S|1
1776430552577410492|17870|17874|S|1
1776430552577410492|17870|17875|S|1
1776430552577410492|17870|17883|S|1
1776430552577410492|17239|17239|S|1
1776430554296544262|17652|17652|S|1
1776430554296544262|17652|17654|S|1
1776430554296544262|17652|17655|S|1
1776430554296544262|17652|17656|S|1
1776430554296544262|17652|17657|S|1
1776430554296544262|17652|17658|S|1
1776430554296544262|17652|17659|S|1
1776430554296544262|17652|17660|S|1
1776430554296544262|17652|17661|S|1
1776430554296544262|17652|17662|S|1
1776430554296544262|17652|17663|S|1
1776430554296544262|17652|17664|S|1
1776430554296544262|17652|17665|S|1
1776430554296544262|17652|17666|S|1
1776430554296544262|17652|17667|S|1
1776430554296544262|17652|17668|S|1
1776430554296544262|17652|17669|S|1
1776430554296544262|17652|17685|S|1
1776430554296544262|17652|17686|S|1
1776430554296544262|17652|17687|S|1
1776430554296544262|17652|17689|S|1
1776430554296544262|17652|17690|S|1
1776430554296544262|17652|17691|S|1
1776430554296544262|17652|17692|S|1
1776430554296544262|17652|17693|S|1
1776430554296544262|17652|17698|S|1
1776430554296544262|17652|17699|S|1
1776430554296544262|17652|17700|S|1
1776430554296544262|17652|17701|S|1
1776430554296544262|17652|17702|S|1
1776430554296544262|17652|17703|S|1
1776430554296544262|17652|17766|S|1
1776430554296544262|17652|17772|S|1
1776430554296544262|17652|17773|S|1
1776430554296544262|17652|17774|S|1
1776430554296544262|17652|17819|S|1
1776430554296544262|17652|17835|S|1
1776430554296544262|17652|17876|S|1
1776430554296544262|17652|18016|S|1
1776430554296544262|17652|18089|S|1
1776430554296544262|17652|30191|S|1
1776430554296544262|17652|30192|S|1
1776430554296544262|17870|17870|S|1
1776430554296544262|17870|17871|S|1
1776430554296544262|17870|17872|S|1
1776430554296544262|17870|17873|S|1
1776430554296544262|17870|17874|S|1
1776430554296544262|17870|17875|S|1
1776430554296544262|17870|17883|S|1
1776430554296544262|17239|17239|S|1
1776430556023275031|17652|17652|S|1
1776430556023275031|17652|17654|S|1
1776430556023275031|17652|17655|S|1
1776430556023275031|17652|17656|S|1
1776430556023275031|17652|17657|S|1
1776430556023275031|17652|17658|S|1
1776430556023275031|17652|17659|S|1
1776430556023275031|17652|17660|S|1
1776430556023275031|17652|17661|S|1
1776430556023275031|17652|17662|S|1
1776430556023275031|17652|17663|S|1
1776430556023275031|17652|17664|S|1
1776430556023275031|17652|17665|S|1
1776430556023275031|17652|17666|S|1
1776430556023275031|17652|17667|S|1
1776430556023275031|17652|17668|S|1
1776430556023275031|17652|17669|S|1
1776430556023275031|17652|17685|S|1
1776430556023275031|17652|17686|S|1
1776430556023275031|17652|17687|S|1
1776430556023275031|17652|17689|S|1
1776430556023275031|17652|17690|S|1
1776430556023275031|17652|17691|S|1
1776430556023275031|17652|17692|S|1
1776430556023275031|17652|17693|S|1
1776430556023275031|17652|17698|S|1
1776430556023275031|17652|17699|S|1
1776430556023275031|17652|17700|S|1
1776430556023275031|17652|17701|S|1
1776430556023275031|17652|17702|S|1
1776430556023275031|17652|17703|S|1
1776430556023275031|17652|17766|S|1
